date,buy_price,shares_bought,total_amount
2026-05-20,193.95,3,581.85
2026-05-21,192.61,4,770.44
2026-05-26,194.66,5,973.3
2026-06-04,208.2,1,208.2
2026-06-05,206.92,3,620.76
2026-06-08,202.26,12,2427.12
2026-06-09,190.84,30,5725.2
2026-06-11,191.72,7,1342.04
2026-06-12,185.96,17,3161.32
2026-06-18,192.82,11,2121.02
2026-06-19,190.1,8,1520.8
2026-06-24,190.9,13,2481.7
2026-06-25,186.57,13,2425.41
2026-06-29,185.08,5,925.4
2026-06-30,183.1,6,1098.6
2026-07-24,196.13,5,980.65
2026-07-28,191.12,4,764.48
2026-07-30,189.09,7,1323.63
2026-07-31,185.74,10,1857.4
2026-08-12,208.88,2,417.76
2026-08-13,208.59,1,208.59
2026-08-18,209.43,5,1047.15
2026-08-19,207.1,6,1242.6
2026-08-20,205.4,5,1027.0
