date,buy_price,shares_bought,total_amount
2026-05-29,74.9,15,1123.5
2026-06-01,73.8,22,1623.6
2026-06-03,73.75,10,737.5
2026-06-08,72.85,24,1748.4
2026-06-10,72.99,14,1021.86
2026-06-11,72.18,16,1154.88
2026-06-19,76.46,3,229.38
2026-06-23,75.79,17,1288.43
2026-06-29,75.37,14,1055.18
2026-07-03,76.2,2,152.4
2026-07-07,76.11,6,456.66
2026-07-08,74.6,27,2014.2
2026-07-13,76.03,2,152.06
2026-07-16,75.69,4,302.76
2026-07-17,75.55,3,226.65
2026-07-22,76.19,7,533.33
2026-07-23,75.78,7,530.46
2026-07-28,76.08,6,456.48
2026-08-04,77.99,2,155.98
2026-08-11,78.8,3,236.4
